Uuid,Void/Retire,Name,Description
8d4907b2-c2cc-11de-8d13-0010c6dffd0f,,Test,"Acq. during patient encounter (vitals, labs, etc.)"
8d490bf4-c2cc-11de-8d13-0010c6dffd0f,,Procedure,Describes a clinical procedure
8d490dfc-c2cc-11de-8d13-0010c6dffd0f,,Drug,Drug
8d4918b0-c2cc-11de-8d13-0010c6dffd0f,,Diagnosis,Conclusion drawn through findings
8d491a9a-c2cc-11de-8d13-0010c6dffd0f,,Finding,Practitioner observation/finding
8d491c7a-c2cc-11de-8d13-0010c6dffd0f,,Anatomy,Anatomic sites / descriptors
8d491e50-c2cc-11de-8d13-0010c6dffd0f,,Question,"Question (eg, patient history, SF36 items)"
8d492026-c2cc-11de-8d13-0010c6dffd0f,,LabSet,Panels
8d4923b4-c2cc-11de-8d13-0010c6dffd0f,,MedSet,Term to describe medication sets
8d492594-c2cc-11de-8d13-0010c6dffd0f,,ConvSet,Term to describe convenience sets
8d492774-c2cc-11de-8d13-0010c6dffd0f,,Misc,Terms which don't fit other categories
8d492954-c2cc-11de-8d13-0010c6dffd0f,,Symptom,Patient-reported observation
8d492b2a-c2cc-11de-8d13-0010c6dffd0f,,Symptom/Finding,Observation that can be reported from patient or found on exam
8d492d0a-c2cc-11de-8d13-0010c6dffd0f,,Specimen,Body or fluid specimen
8d492ee0-c2cc-11de-8d13-0010c6dffd0f,,Misc Order,Orderable items which aren't tests or drugs
8e071bfe-520c-44c0-a89b-538e9129b42a,,Frequency,A class for order frequencies
0e264eca-1d70-11ec-b667-0242ac150008,,Bacteriology Attributes,Bacteriology Attributes Concept Class
0e2721bf-1d70-11ec-b667-0242ac150008,,Bacteriology Results,Bacteriology Results Concept Class
102ec46d-1d70-11ec-b667-0242ac150008,,Concept Attribute,Concept Attribute class
10309560-1d70-11ec-b667-0242ac150008,,Abnormal,Abnormal class
103150d9-1d70-11ec-b667-0242ac150008,,Duration,Duration class
1032d286-1d70-11ec-b667-0242ac150008,,Concept Details,Concept Details class
1040516b-1d70-11ec-b667-0242ac150008,,Image,Image class
1041421e-1d70-11ec-b667-0242ac150008,,Computed,Computed
1058e232-1d70-11ec-b667-0242ac150008,,URL,URL
108b6fcd-1d70-11ec-b667-0242ac150008,,Sample,Lab Samples Concept Class
108c3db8-1d70-11ec-b667-0242ac150008,,Department,Lab Departments Concept Class
10aba6ed-1d70-11ec-b667-0242ac150008,,LabTest,Lab Tests
10ac8af4-1d70-11ec-b667-0242ac150008,,Radiology,Radiology Orders
10b3b748-1d70-11ec-b667-0242ac150008,,Computed/Editable,Computed/Editable
10ba6720-1d70-11ec-b667-0242ac150008,,Case Intake,Case Intake class
11132285-1d70-11ec-b667-0242ac150008,,Unknown,Unknown class
1150d41a-1d70-11ec-b667-0242ac150008,,Video,Video class
